entry_timestamp,exit_timestamp,direction,probability_up,threshold,entry_price,exit_price,position_size,pnl,return_pct,equity_after,risk_amount,expected_pnl,risk_profile,effective_long_threshold,effective_short_threshold,regime_name
2024-11-25 14:30:00+00:00,2024-11-25 17:30:00+00:00,long,0.5344105036038926,0.52,232.0,229.89714204753153,95,-243.85150548450451,-0.024385150548450453,9756.148494515495,199.77150548450453,99.15646890020469,normal,0.52,0.4,normal
2024-11-26 14:30:00+00:00,2024-12-02 14:30:00+00:00,long,0.5504683849142704,0.52,234.3600006103516,238.41843404079697,86,308.7153549133219,0.031643158679561814,10064.863849428817,193.90293056572244,104.9618818865176,normal,0.52,0.4,normal
2024-12-02 17:30:00+00:00,2024-12-03 14:30:00+00:00,short,0.3879579240792507,0.4,239.44000244140625,241.32518620773473,106,-250.59075974839715,-0.024897580682387295,9814.27308968042,199.829479230819,142.62185880524058,normal,0.52,0.4,normal
2024-12-04 14:30:00+00:00,2024-12-04 16:30:00+00:00,long,0.5579345625620065,0.52,243.4499969482422,241.82706131705208,120,-253.18027501039046,-0.0257971499974467,9561.09281467003,194.75227574281234,109.4929964258472,normal,0.52,0.4,normal
2024-12-04 18:30:00+00:00,2024-12-09 15:30:00+00:00,long,0.5263106184272802,0.52,243.07000732421875,246.0638679899103,114,285.8801542189156,0.029900363876844326,9846.972968888946,189.61117549379787,89.8130746038222,normal,0.52,0.4,normal
2024-12-09 17:30:00+00:00,2024-12-11 15:30:00+00:00,long,0.5282899217532817,0.52,246.9053955078125,250.1878363516113,107,298.3834156478008,0.030302044759392494,10145.356384536746,195.122872381373,93.50517916999414,normal,0.52,0.4,normal
2024-12-11 16:30:00+00:00,2024-12-11 19:30:00+00:00,long,0.5487534734660905,0.52,249.681396484375,247.87126305289308,112,-258.6635771384745,-0.025495760556299624,9886.69280739827,202.73494432597454,108.76926937115786,normal,0.52,0.4,normal
2024-12-11 20:30:00+00:00,2024-12-16 14:30:00+00:00,long,0.5493832605558263,0.52,246.42999267578125,249.57930919060018,113,300.17958782981304,0.030361981875798433,10186.872395228083,197.7070923191894,106.4204153181291,normal,0.52,0.4,normal
2024-12-16 15:30:00+00:00,2024-12-17 14:30:00+00:00,long,0.5803979583115233,0.52,249.6699981689453,252.65387623461243,122,303.11364445816514,0.029755319660247737,10489.986039686248,202.24062445076947,126.42350300207812,normal,0.52,0.4,normal
2024-12-17 15:30:00+00:00,2024-12-18 19:30:00+00:00,long,0.5847807499402395,0.52,252.5500030517578,250.69875366760738,113,-266.26748109869646,-0.025383015772503396,10223.71855858755,209.19118040899917,133.3355506002846,normal,0.52,0.4,normal
2024-12-18 20:30:00+00:00,2024-12-19 16:30:00+00:00,long,0.5358472541334729,0.52,247.8600006103516,251.81511594371244,93,321.7237658890337,0.03146837073471643,10545.442324476584,204.34762555697642,102.24989376454613,normal,0.52,0.4,normal
2024-12-19 17:30:00+00:00,2024-12-20 14:30:00+00:00,long,0.5636866076673536,0.52,250.8300018310547,248.41175165159817,87,-254.03218593132087,-0.024089286927462247,10291.410138545263,210.38776561271735,121.6719788875341,normal,0.52,0.4,normal
2024-12-20 15:30:00+00:00,2024-12-24 14:30:00+00:00,long,0.556042256201646,0.52,251.9900054931641,256.6410661843711,79,327.6193737374325,0.031834254910352154,10619.029512282696,204.12988589186273,113.68367257472583,normal,0.52,0.4,normal
2024-12-24 15:30:00+00:00,2024-12-27 14:30:00+00:00,long,0.5591553700958369,0.52,257.2929992675781,255.12967926652664,98,-262.4347879594912,-0.02471363203727244,10356.594724323204,212.00536010304586,119.91765955096956,normal,0.52,0.4,normal
2024-12-27 18:30:00+00:00,2024-12-30 14:30:00+00:00,long,0.5226601908506137,0.52,255.01499938964844,252.95796504630476,100,-256.70643421229704,-0.0247867606144135,10099.888290110906,205.70343433436733,95.33295515954855,normal,0.52,0.4,normal
2024-12-30 15:30:00+00:00,2024-12-31 17:30:00+00:00,long,0.5235478733686795,0.52,251.8999938964844,249.59952638581643,87,-243.9712723661018,-0.024155838694273596,9855.917017744805,200.1406734281135,93.25235362590624,normal,0.52,0.4,normal
