iter	Logloss
0	0.6928406964
1	0.6925804367
2	0.6918130688
3	0.6911307141
4	0.6906561869
5	0.6899420703
6	0.6894366751
7	0.6888727525
8	0.6884330824
9	0.6878648299
10	0.6873250405
11	0.6865726885
12	0.6862232632
13	0.6856265529
14	0.6849463841
15	0.6843755424
16	0.6840244867
17	0.6833047819
18	0.682675023
19	0.6820810979
20	0.6815728299
21	0.6808722169
22	0.6806479441
23	0.6803633468
24	0.6798746121
25	0.6790534071
26	0.6785360589
27	0.6782803484
28	0.677678813
29	0.6771350228
30	0.6767145641
31	0.6764049675
32	0.6760147599
33	0.6754829376
34	0.6753060043
35	0.6751172923
36	0.6745259279
37	0.6740980401
38	0.6736844409
39	0.6733402193
40	0.6726779338
41	0.6720127559
42	0.6715281054
43	0.6712701256
44	0.6708418536
45	0.6706462865
46	0.6701298866
47	0.6698276475
48	0.6692651536
49	0.6689968725
50	0.6688278589
51	0.6682814249
52	0.6674241113
53	0.6671912882
54	0.6665290018
55	0.6658858887
56	0.6652935869
57	0.6647573328
58	0.6643207271
59	0.6638098992
60	0.6635695585
61	0.663305196
62	0.6626922221
63	0.6622763346
64	0.6618326554
65	0.6614623613
66	0.6611408058
67	0.6603203739
68	0.6599181956
69	0.6595607334
70	0.659173363
71	0.6590013218
72	0.6583265342
73	0.6577207473
74	0.6573063315
75	0.6569363986
76	0.6566122517
77	0.6562930275
78	0.6558646735
79	0.6556516102
80	0.6552887064
81	0.6550656759
82	0.6545691777
83	0.6540491616
84	0.6537111001
85	0.6533274747
86	0.6530954631
87	0.6527418922
88	0.6524296329
89	0.652045534
90	0.6518268947
91	0.6514740484
92	0.6510322308
93	0.6505788184
94	0.6503867769
95	0.6498828123
96	0.6495457548
97	0.6487255046
98	0.6483339192
99	0.6476829123
100	0.6473754784
101	0.6470426284
102	0.6466380438
103	0.6463411403
104	0.6460335677
105	0.6455651679
106	0.6452111955
107	0.644299177
108	0.6439310496
109	0.6437551909
110	0.6432366546
111	0.6427822365
112	0.6425736656
113	0.6422201821
114	0.6417104925
115	0.6412529453
116	0.6410309886
117	0.6406149611
118	0.6399506154
119	0.639609245
120	0.6390203036
121	0.6387465056
122	0.6384767487
123	0.6380232298
124	0.6374035673
125	0.6370674552
126	0.6367570541
127	0.636414808
128	0.6362059572
129	0.6358421559
130	0.6354116626
131	0.6350876973
132	0.6346697999
133	0.6343572409
134	0.6340530712
135	0.6337771268
136	0.6331573036
137	0.6328605951
138	0.6327459073
139	0.6323460049
140	0.6321892456
141	0.6316141213
142	0.6312852622
143	0.6307883824
144	0.63038978
145	0.6299129358
146	0.6295432345
147	0.6292332968
148	0.6290435454
149	0.628689355
150	0.6285885028
151	0.628302213
152	0.6281260154
153	0.6278301882
154	0.6275672046
155	0.6273457861
156	0.6269819071
157	0.6266817061
158	0.6263658352
159	0.6261073256
160	0.625958427
161	0.6256803315
162	0.6254885447
163	0.6251589854
164	0.6249384884
165	0.6247799497
166	0.6244386103
167	0.6242420493
168	0.6240284627
169	0.6235695282
170	0.6234039408
171	0.6231011061
172	0.6226282385
173	0.6221918792
174	0.6217037882
175	0.6214321372
176	0.6211184318
177	0.6207439437
178	0.6203665462
179	0.6202484998
180	0.6197687135
181	0.6195628061
182	0.6191067201
183	0.6187486794
184	0.6186578477
185	0.6181667207
186	0.6181007219
187	0.6177583943
188	0.6174141274
189	0.6170356271
190	0.6167269282
191	0.6164707756
192	0.6162572796
193	0.6160689793
194	0.6155103405
195	0.6152452794
196	0.6149936919
197	0.6145850029
198	0.6141939169
199	0.613879611
200	0.6135602296
201	0.6134396995
202	0.6130907727
203	0.6129031586
204	0.6126913301
205	0.6124589962
206	0.6117677128
207	0.6114678083
208	0.6110767641
209	0.6108058026
210	0.6106454256
211	0.6104998291
212	0.6102523872
213	0.6097482106
214	0.6094473284
215	0.6091562866
216	0.6088432177
217	0.6086593695
218	0.6084729122
219	0.60831872
220	0.6079933781
221	0.6073556459
222	0.6070055104
223	0.6066690964
224	0.6062931632
225	0.6058851173
226	0.6056523441
227	0.6053547481
228	0.6049329227
229	0.6044979935
230	0.604242217
231	0.6038449106
232	0.6036283171
233	0.603160899
234	0.6026064612
235	0.6022829743
236	0.6017917901
237	0.6014311406
238	0.6012019259
239	0.6007906093
240	0.6005799113
241	0.6000663934
242	0.5997547007
243	0.5995633902
244	0.5993050987
245	0.5991118196
246	0.5987718573
247	0.5985040658
248	0.598167079
249	0.5978956831
250	0.5976311637
251	0.5972412805
252	0.597026401
253	0.596595385
254	0.5962124298
255	0.5958758074
256	0.5955278308
257	0.5952165802
258	0.595007584
259	0.5946419367
260	0.5944030253
261	0.5940245475
262	0.5936528954
263	0.593414185
264	0.5926902434
265	0.5921868044
266	0.591947581
267	0.5915806666
268	0.59117514
269	0.5909454307
270	0.5907735421
271	0.5904706761
272	0.5900402835
273	0.5898648012
274	0.5895865971
275	0.5894163833
276	0.5891678943
277	0.5888270872
278	0.5885643627
279	0.5882328252
280	0.5879037892
281	0.5874803595
282	0.5870224773
283	0.5867714131
284	0.5864798474
285	0.5861650274
286	0.5858057283
287	0.5855367318
288	0.5853305718
289	0.5850707868
290	0.584748437
291	0.5843376718
292	0.5838341347
293	0.5833641195
294	0.5828306115
295	0.5823677553
296	0.5820654783
297	0.5815949048
298	0.5811106485
299	0.580732992
